Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
1,Ag Econ Foundations,price_theory,Tomek,William G.,Agricultural Product Prices,2014,Cornell UP,BOOK,none,CRITICAL,NEEDED,"5th ed., with Kaiser; standard text",https://annas-archive.org/search?q=Tomek+Agricultural+Product+Prices,https://archive.org/search?query=Tomek+Agricultural+Product+Prices,,Tomek Agricultural Product Prices
2,Ag Econ Foundations,price_theory,Gardner,Bruce L.,The Economics of Agricultural Policy,2002,Harvard UP,BOOK,none,CRITICAL,NEEDED,Foundational US ag-policy text,https://annas-archive.org/search?q=Gardner+The+Economics+of+Agricultural+Policy,https://archive.org/search?query=Gardner+The+Economics+of+Agricultural+Policy,,Gardner The Economics of Agricultural Policy
3,Ag Econ Foundations,price_theory,Schultz,Theodore W.,Agriculture in an Unstable Economy,1945,McGraw-Hill,BOOK,none,HIGH,NEEDED,Nobelist; classic on farm-price instability,https://annas-archive.org/search?q=Schultz+Agriculture+in+an+Unstable+Economy,https://archive.org/search?query=Schultz+Agriculture+in+an+Unstable+Economy,,Schultz Agriculture in an Unstable Economy
4,Ag Econ Foundations,price_theory,Cochrane,Willard W.,Farm Prices: Myth and Reality,1958,U Minnesota Press,BOOK,none,HIGH,NEEDED,Coined 'agricultural treadmill',https://annas-archive.org/search?q=Cochrane+Farm+Prices%3A+Myth+and+Reality,https://archive.org/search?query=Cochrane+Farm+Prices%3A+Myth+and+Reality,,Cochrane Farm Prices: Myth and Reality
5,Ag Econ Foundations,supply_response,Nerlove,Marc,The Dynamics of Supply: Estimation of Farmers' Response to Price,1958,Johns Hopkins,BOOK,none,HIGH,NEEDED,Founding work on supply response,https://annas-archive.org/search?q=Nerlove+The+Dynamics+of+Supply%3A+Estimation+of+Farmers%27+Response+to+Price,https://archive.org/search?query=Nerlove+The+Dynamics+of+Supply%3A+Estimation+of+Farmers%27+Response+to+Price,,Nerlove The Dynamics of Supply: Estimation of Farmers' Response to Price
6,Ag Econ Foundations,supply_response,Askari,Hossein,Agricultural Supply Response: A Survey,1976,Praeger,BOOK,none,MEDIUM,NEEDED,Cross-country supply response survey,https://annas-archive.org/search?q=Askari+Agricultural+Supply+Response%3A+A+Survey,https://archive.org/search?query=Askari+Agricultural+Supply+Response%3A+A+Survey,,Askari Agricultural Supply Response: A Survey
7,Ag Econ Foundations,futures_markets,Working,Holbrook,The Theory of Price of Storage,1949,American Economic Review,ARTICLE,none,CRITICAL,NEEDED,Seminal storage/futures paper,https://annas-archive.org/search?q=Working+The+Theory+of+Price+of+Storage,https://archive.org/search?query=Working+The+Theory+of+Price+of+Storage,https://www.jstor.org/stable/1812975,Working The Theory of Price of Storage
8,Ag Econ Foundations,futures_markets,Kaldor,Nicholas,Speculation and Economic Stability,1939,Review of Economic Studies,ARTICLE,none,HIGH,NEEDED,Convenience yield concept,https://annas-archive.org/search?q=Kaldor+Speculation+and+Economic+Stability,https://archive.org/search?query=Kaldor+Speculation+and+Economic+Stability,https://www.jstor.org/stable/2967593,Kaldor Speculation and Economic Stability
9,Ag Econ Foundations,futures_markets,Deaton,Angus,Competitive Storage and Commodity Price Dynamics,1992,Journal of Political Economy,ARTICLE,none,CRITICAL,NEEDED,With Laroque; modern storage model,https://annas-archive.org/search?q=Deaton+Competitive+Storage+and+Commodity+Price+Dynamics,https://archive.org/search?query=Deaton+Competitive+Storage+and+Commodity+Price+Dynamics,https://www.jstor.org/stable/2138602,Deaton Competitive Storage and Commodity Price Dynamics
10,Ag Econ Foundations,futures_markets,Wright,Brian D.,The Economics of Grain Price Volatility,2011,Applied Econ Perspectives & Policy,ARTICLE,cereals,HIGH,NEEDED,Post-2008 retrospective,https://annas-archive.org/search?q=Wright+The+Economics+of+Grain+Price+Volatility,https://archive.org/search?query=Wright+The+Economics+of+Grain+Price+Volatility,https://doi.org/10.1093/aepp/ppq033,Wright The Economics of Grain Price Volatility
11,Ag Econ Foundations,futures_markets,Irwin,Scott H.,"Index Funds, Financialization, and Commodity Futures Markets",2011,Applied Econ Perspectives & Policy,ARTICLE,multi,HIGH,NEEDED,With Sanders,https://annas-archive.org/search?q=Irwin+Index+Funds%2C+Financialization%2C+and+Commodity+Futures+Markets,https://archive.org/search?query=Irwin+Index+Funds%2C+Financialization%2C+and+Commodity+Futures+Markets,https://doi.org/10.1093/aepp/ppq032,"Irwin Index Funds, Financialization, and Commodity Futures Markets"
12,Ag Econ Foundations,futures_markets,Garcia,Philip,Estimated and Implied Volatility in Agricultural Futures,2005,Journal of Ag & Applied Econ,ARTICLE,cereals,MEDIUM,NEEDED,Vol transmission,https://annas-archive.org/search?q=Garcia+Estimated+and+Implied+Volatility+in+Agricultural+Futures,https://archive.org/search?query=Garcia+Estimated+and+Implied+Volatility+in+Agricultural+Futures,,Garcia Estimated and Implied Volatility in Agricultural Futures
